n1,n_id,g1,g2,g3,g4,g5,g6,l1,l2,l3,l4,ppm
5,1,0.8,5.2,0.281139,0.488041,0.574852,0.319985,0,0.287278,0,0.601423,-648.806401718457
5,2,1.2,4.8,0.468565,0.888041,0.521708,0.024563,0.813401,0.207509,0.468565,0.468565,-660.602917322001
5,2,1.2,4.8,0.468565,0.888041,0.521708,0.024563,1,-0.053671,0.468565,0.468565,-655.292753433689
5,2,1.2,4.8,0.468565,0.888041,0.521708,0.024563,1,-0.011592,0.468565,0.601423,-655.008639527266
5,2,1.2,4.8,0.468565,0.888041,0.521708,0.024563,0.813401,0.202304,0.468565,0.601423,-655.829201810547
5,2,1.2,4.8,0.468565,0.888041,0.521708,0.024563,0.813401,-0.221735,0.468565,0.468565,-655.602056609982
5,3,0.8,5.2,0.374852,0.8,0.574852,0.15413,1,0.311421,0.468565,0.601423,-654.878159866734
5,3,0.8,5.2,0.374852,0.8,0.574852,0.15413,1,0.30368,0.468565,0.601423,-654.876398884618
5,3,0.8,5.2,0.374852,0.8,0.574852,0.15413,1,0.30368,0.468565,0.601423,-654.876539896207
5,3,0.8,5.2,0.374852,0.8,0.574852,0.15413,1,0.311421,0.468565,0.601423,-654.878195198613
5,3,0.8,5.2,0.374852,0.8,0.574852,0.15413,0,-0.459551,0,0.468565,-649.276592198266
5,4,1.2,4.8,0.374852,0.7067,0.574852,0.218127,0.813401,0.425506,0.468565,0.601423,-661.106129012741
